00时25分00秒     CPU     %user     %nice   %system   %iowait    %steal     %idle
00时27分23秒     all      6.03      0.00      1.59      0.00      0.00     92.38
00时27分24秒     all      5.56      0.00      0.79      0.03      0.00     93.62
00时27分25秒     all      5.43      0.00      0.88      0.00      0.00     93.70
00时27分26秒     all      5.88      0.00      1.13      0.00      0.00     92.99
00时27分27秒     all      6.18      0.00      0.79      0.00      0.00     93.03
00时27分28秒     all      6.37      0.00      1.30      0.00      0.00     92.33
00时27分29秒     all      5.95      0.00      1.22      0.00      0.00     92.82
00时27分30秒     all      6.44      0.00      1.46      0.03      0.00     92.07
00时27分31秒     all      6.20      0.00      1.10      0.00      0.00     92.71
00时27分32秒     all      5.46      0.00      0.76      0.00      0.00     93.78
00时27分33秒     all      6.35      0.00      1.31      0.00      0.00     92.34
00时27分34秒     all      5.91      0.00      0.94      0.00      0.00     93.14
00时27分35秒     all      5.92      0.00      1.00      0.00      0.00     93.07
00时27分36秒     all      6.20      0.00      1.13      0.00      0.00     92.68
00时27分37秒     all      6.09      0.00      1.49      0.00      0.00     92.41
00时27分38秒     all      6.48      0.00      1.28      0.00      0.00     92.24
00时27分39秒     all      5.96      0.00      1.32      0.00      0.00     92.73
00时27分40秒     all      5.89      0.00      1.13      0.03      0.00     92.95
00时27分41秒     all      5.97      0.00      1.29      0.00      0.00     92.75
00时27分42秒     all      5.62      0.00      0.85      0.00      0.00     93.53
00时27分43秒     all      6.95      0.00      1.13      0.00      0.00     91.92
00时27分44秒     all      9.06      0.00      1.00      0.00      0.00     89.94
00时27分45秒     all      9.30      0.00      0.81      0.00      0.00     89.89
00时27分46秒     all      9.09      0.00      0.88      0.00      0.00     90.03
00时27分47秒     all      8.89      0.00      1.16      0.00      0.00     89.95
00时27分48秒     all      9.37      0.00      0.91      0.22      0.00     89.51
00时27分49秒     all      9.17      0.00      1.10      0.38      0.00     89.36
00时27分50秒     all      9.28      0.00      0.97      0.03      0.00     89.72
00时27分51秒     all      9.47      0.00      0.66      0.00      0.00     89.87
00时27分52秒     all      9.08      0.00      0.94      0.00      0.00     89.98
00时27分53秒     all      8.93      0.00      0.75      0.00      0.00     90.31
00时27分54秒     all      9.18      0.00      1.09      0.00      0.00     89.73
00时27分55秒     all      8.90      0.00      1.07      0.00      0.00     90.03
00时27分56秒     all      9.26      0.00      0.97      0.03      0.00     89.74
00时27分57秒     all      9.39      0.00      1.10      0.00      0.00     89.51
00时27分58秒     all      9.35      0.00      0.88      0.00      0.00     89.77
00时27分59秒     all      8.91      0.00      0.97      0.00      0.00     90.12
00时28分00秒     all      9.34      0.00      1.03      0.00      0.00     89.63
00时28分01秒     all      9.36      0.00      1.10      0.00      0.00     89.54
00时28分02秒     all      9.02      0.00      0.91      0.03      0.00     90.04
00时28分03秒     all      9.49      0.00      0.94      0.00      0.00     89.57
00时28分04秒     all      9.49      0.00      0.94      0.00      0.00     89.58
00时28分05秒     all      9.81      0.00      1.22      0.00      0.00     88.97
00时28分06秒     all      9.20      0.00      0.88      0.00      0.00     89.92
00时28分07秒     all      8.74      0.00      1.32      0.00      0.00     89.94
00时28分08秒     all      9.13      0.00      1.13      0.03      0.00     89.71
00时28分09秒     all      8.73      0.00      1.07      0.44      0.00     89.77
00时28分10秒     all      9.40      0.00      1.13      0.03      0.00     89.45
00时28分11秒     all      9.49      0.00      0.69      0.00      0.00     89.82
00时28分12秒     all      9.20      0.00      1.16      0.00      0.00     89.65
00时28分13秒     all      9.21      0.00      1.07      0.00      0.00     89.72
00时28分14秒     all      9.17      0.00      1.03      0.00      0.00     89.80
00时28分15秒     all      9.56      0.00      1.10      2.91      0.00     86.43
00时28分16秒     all      9.32      0.00      1.00      3.01      0.00     86.67
00时28分17秒     all      8.95      0.00      1.13      2.01      0.00     87.92
00时28分18秒     all      8.97      0.00      1.19      0.03      0.00     89.81
00时28分19秒     all      7.91      0.00      1.16      0.00      0.00     90.93
00时28分20秒     all      6.49      0.00      0.94      0.00      0.00     92.57
00时28分21秒     all      6.49      0.00      0.94      0.00      0.00     92.57
00时28分22秒     all      6.62      0.00      1.22      0.00      0.00     92.16
00时28分23秒     all      6.76      0.00      1.43      0.00      0.00     91.80
00时28分24秒     all      6.40      0.00      0.85      0.03      0.00     92.72
00时28分25秒     all      6.65      0.00      1.31      0.00      0.00     92.04
00时28分26秒     all      6.12      0.00      1.34      0.00      0.00     92.53
00时28分27秒     all      5.67      0.00      0.79      0.00      0.00     93.54
00时28分28秒     all      6.94      0.00      1.13      0.00      0.00     91.93
00时28分29秒     all      5.72      0.00      0.75      0.00      0.00     93.52
00时28分30秒     all      5.81      0.00      1.41      0.03      0.00     92.75
00时28分31秒     all      5.83      0.00      1.37      0.00      0.00     92.80
00时28分32秒     all      6.21      0.00      0.79      0.00      0.00     93.00
00时28分33秒     all      6.50      0.00      1.06      0.00      0.00     92.44
00时28分34秒     all      6.14      0.00      1.44      0.00      0.00     92.42
00时28分35秒     all      6.57      0.00      1.34      0.00      0.00     92.10
00时28分36秒     all      5.59      0.00      1.13      1.04      0.00     92.24
00时28分37秒     all      6.43      0.00      1.29      0.00      0.00     92.29
00时28分38秒     all      6.73      0.00      1.28      0.03      0.00     91.97
00时28分39秒     all      6.47      0.00      0.97      0.00      0.00     92.55
00时28分40秒     all      6.30      0.00      1.10      0.00      0.00     92.60
00时28分41秒     all      5.78      0.00      1.26      1.55      0.00     91.41
00时28分42秒     all      6.39      0.00      1.20      1.83      0.00     90.59
00时28分43秒     all      6.12      0.00      1.16      0.00      0.00     92.72
